Famille,Blason,Devise,Source,Mort/vivant/peut-íÈtre,Sexe,Main du roi,Statut,Target,Type de relation,Weight,Localisation d'origine,Lieux de vie,Rí©gions,Saison 1,Saison 2,Saison 3,Saison 4,Saison 5,Photo
Baratheon,Cerf Couronní©,NíÇtre est la fureur,Stannis Baratheon,peut-íÈtre,masculin,,gouverneur de Peyredragon et disciple du dieu de la LumiíÂre,Robert Baratheon,frere,3,Accalmie,,Terres de l'orage,non,oui,oui,oui,oui,http://westeros.pl/wp-content/uploads/2014/06/stannis-img.jpg
Baratheon,Cerf Couronní©,NíÇtre est la fureur,Stannis Baratheon,peut-íÈtre,masculin,,gouverneur de Peyredragon et disciple du dieu de la LumiíÂre,Renly Baratheon,frere,3,Accalmie,,Terres de l'orage,non,oui,oui,oui,oui,http://westeros.pl/wp-content/uploads/2014/06/stannis-img.jpg
Baratheon,Cerf Couronní©,NíÇtre est la fureur,Renly Baratheon,mort,masculin,,membre du conseil restreint,Robert Baratheon,frere,3,Accalmie,,Terres de l'orage,oui,oui,non,non,non,https://pbs.twimg.com/profile_images/1355313280/renly_400x400.jpg
Baratheon,Cerf Couronní©,NíÇtre est la fureur,Renly Baratheon,mort,masculin,,membre du conseil restreint,Stannis Baratheon,frere,3,Accalmie,,Terres de l'orage,oui,oui,non,non,non,https://pbs.twimg.com/profile_images/1355313280/renly_400x400.jpg
Lannister,Lion d'Or,Je rugis,Jaimie Lannister,vivant,masculin,,"chef de l'armí©e royale, Rí©gicide",Tyrion Lannister,frere,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/598885932897558529/zXxnsZvo.jpg
Lannister,Lion d'Or,Je rugis,Tyrion Lannister ,vivant,masculin,main du roi,conseiller de Daenerys Targaryen,Cersei Lannister,frere,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/2352084914/tyrion-lannister-1024_400x400.jpg
Lannister,Lion d'Or,Je rugis,Tyrion Lannister ,vivant,masculin,main du roi,conseiller de Daenerys Targaryen,Jaimie Lannister,frere,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/2352084914/tyrion-lannister-1024_400x400.jpg
Targaryen,Dragon Tricí©phale,Feu et sang,Rhaegar Targaryen,mort,masculin,,prince hí©ritier,Viserys Targaryen,frere,3,Valyrie,Port Rí©al,Essos,oui,non,non,oui,oui,
Targaryen,Dragon Tricí©phale,Feu et sang,Rhaegar Targaryen,mort,masculin,,prince hí©ritier,Daenerys Targaryen,frere,3,Valyrie,Port Rí©al,Essos,oui,non,non,oui,oui,
Targaryen,Dragon Tricí©phale,Feu et sang,Viserys Targaryen,mort,masculin,,prince hí©ritier,Rhaegar Targaryen,frere,3,Valyrie,Essos,Essos,oui,non,non,non,non,https://pbs.twimg.com/profile_images/474543131606917120/IrhCPUCU_400x400.jpeg
Targaryen,Dragon Tricí©phale,Feu et sang,Viserys Targaryen,mort,masculin,,prince hí©ritier,Daenerys Targaryen,frere,3,Valyrie,Essos,Essos,oui,non,non,non,non,https://pbs.twimg.com/profile_images/474543131606917120/IrhCPUCU_400x400.jpeg
Tyrell,Rose d'Or,Croí¬tre avec vigueur,Loras Tyrell,vivant,masculin,,chevalier de la rose,Margeary Tyrell,frere,3,Haut Jardin,Port Rí©al,Bief,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/602415744966643712/hvlOSH32.jpg
Greyjoy,Kraken Dorí©,Nous ne semons pas,Theon Greyjoy,vivant,masculin,,Hí©ritier des Iles de Fer,Asha Greyjoy,frere,3,Iles de Fer,Winterfell,Iles de Fer,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=401
Tully,Truite argentEe,"Famille, Devoir, Honneur",Edmure Tully,vivant,masculin,,Seigneur du Conflans,Catelyn Tully,frere,3,Vivesaigues,,Conflans,non,non,oui,non,non,https://pbs.twimg.com/profile_images/482598125576540160/r9aBDZnA.jpeg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Edmure Tully,vivant,masculin,,Seigneur du Conflans,Lisa Tully,frere,3,Vivesaigues,,Conflans,non,non,oui,non,non,https://pbs.twimg.com/profile_images/482598125576540160/r9aBDZnA.jpeg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Doran Martell,vivant,masculin,,Prince de Dorne,Oberyn Martell,frere,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,https://pbs.twimg.com/profile_images/590384109513375744/hEG2ZNwT.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Doran Martell,vivant,masculin,,Prince de Dorne,Elia Martell,frere,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,https://pbs.twimg.com/profile_images/590384109513375744/hEG2ZNwT.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Oberyn Martell,mort,masculin,,"Conseiller du Gouverner de Dorne, Membre du Conseil restreint",Doran Martell,frere,3,Dorne,Port Rí©al,principautí© de Dorne,non,non,non,oui,non,https://pbs.twimg.com/profile_images/493021365092749312/HSnODihf.jpeg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Oberyn Martell,mort,masculin,,"Conseiller du Gouverner de Dorne, Membre du Conseil restreint",Elia Martell,frere,3,Dorne,Port Rí©al,principautí© de Dorne,non,non,non,oui,non,https://pbs.twimg.com/profile_images/493021365092749312/HSnODihf.jpeg
Stark,Loup-Garou,L'hiver vient,Robb Stark,mort,masculin,,roi du nord,Theon Greyjoy,frere adoptif,4,Winterfell,Winterfell,Nord,oui,oui ,oui,non,non,https://images.blogthings.com/whatgameofthronescharacterareyouquiz/robb-stark.jpg
Stark,Loup-Garou,L'hiver vient,Brandon Stark,vivant,masculin,,membre des enfants de la fíÇret,Theon Greyjoy,frere adoptif,4,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/432738150268411904/6EM9iIF__400x400.png
Stark,Loup-Garou,L'hiver vient,Rickon Stark,vivant,masculin,,,Theon Greyjoy,frere adoptif,4,Winterfell,Winterfell,Nord,oui,oui,oui,oui,non,https://pbs.twimg.com/profile_images/378800000432009708/e907cc868bd6785919ba13f72c00767c_400x400.png
Stark,Loup-Garou,L'hiver vient,Jon Snow,mort,masculin,,"bí¢tard, lord commandant de la garde de nuit",Theon Greyjoy,frere adoptif,4,Winterfell,Le Mur,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/610945499856699394/NZbyxcwo.jpg
Stark,Loup-Garou,L'hiver vient,Theon Greyjoy,vivant,masculin,,hí©ritier des Greyjoy,Robb Stark,frere adoptif,4,Iles de Fer,Winterfell,Nord,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=400
Stark,Loup-Garou,L'hiver vient,Theon Greyjoy,vivant,masculin,,hí©ritier des Greyjoy,Sansa Stark,frere adoptif,4,Iles de Fer,Winterfell,Nord,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=400
Stark,Loup-Garou,L'hiver vient,Theon Greyjoy,vivant,masculin,,hí©ritier des Greyjoy,Arya Stark,frere adoptif,4,Iles de Fer,Winterfell,Nord,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=400
Stark,Loup-Garou,L'hiver vient,Theon Greyjoy,vivant,masculin,,hí©ritier des Greyjoy,Brandon Stark,frere adoptif,4,Iles de Fer,Winterfell,Nord,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=400
Stark,Loup-Garou,L'hiver vient,Theon Greyjoy,vivant,masculin,,hí©ritier des Greyjoy,Rickon Stark,frere adoptif,4,Iles de Fer,Winterfell,Nord,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=400
Stark,Loup-Garou,L'hiver vient,Theon Greyjoy,vivant,masculin,,hí©ritier des Greyjoy,Jon Snow,frere adoptif,4,Iles de Fer,Winterfell,Nord,oui,oui,oui,oui,oui,http://memecrunch.com/image/52deafa11605fb6c52000100.jpg?w=400
Lannister,Lion d'Or,Je rugis,Jaimie Lannister,vivant,masculin,,"chef de l'armí©e royale, Rí©gicide",Cersei Lannister,frere jumeau,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/598885932897558529/zXxnsZvo.jpg
Tyrell,Rose d'Or,Croí¬tre avec vigueur,Olenna Tyrell,vivant,feminin,,,Loras Tyrell,grand mere,3,Haut Jardin,,Bief,non,non,oui,oui,oui,https://pbs.twimg.com/profile_images/589877331466006528/P3-3w2yY.jpg
Tyrell,Rose d'Or,Croí¬tre avec vigueur,Olenna Tyrell,vivant,feminin,,,Margeary Tyrell,grand mere,3,Haut Jardin,,Bief,non,non,oui,oui,oui,https://pbs.twimg.com/profile_images/589877331466006528/P3-3w2yY.jpg
Stark,Loup-Garou,L'hiver vient,Catelyn Tully,mort,feminin,,conseilliíÂre du gouverneur du nord,Arya Stark,mere,3,Vivesaigues,Winterfell,Nord,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Stark,Loup-Garou,L'hiver vient,Catelyn Tully,mort,feminin,,conseilliíÂre du roi du nord,Brandon Stark ,mere,3,Vivesaigues,Winterfell,Nord,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Stark,Loup-Garou,L'hiver vient,Catelyn Tully,mort,feminin,,conseilliíÂre du roi du nord,Rickon Stark ,mere,3,Vivesaigues,Winterfell,Nord,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Stark,Loup-Garou,L'hiver vient,Catelyn Tully,mort,feminin,,conseilliíÂre du roi du nord,Sansa Stark ,mere,3,Vivesaigues,Winterfell,Nord,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Stark,Loup-Garou,L'hiver vient,Catelyn Tully,mort,feminin,,conseilliíÂre du roi du nord,Robb Stark ,mere,3,Vivesaigues,Winterfell,Nord,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Lannister,Lion d'Or,Je rugis,Cersei Lannister,vivant,feminin,,"Reine de Westeros, Rí©gente",Joffrey Lannister,mere,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,http://i56.servimg.com/u/f56/18/63/99/45/179-le10.jpg
Lannister,Lion d'Or,Je rugis,Cersei Lannister,vivant,feminin,,"Reine de Westeros, Rí©gente",Myrcella Lannister,mere,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,http://i56.servimg.com/u/f56/18/63/99/45/179-le10.jpg
Lannister,Lion d'Or,Je rugis,Cersei Lannister,vivant,feminin,,"Reine de Westeros, Rí©gente",Tommen Lannister,mere,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,http://i56.servimg.com/u/f56/18/63/99/45/179-le10.jpg
Tyrell,Rose d'Or,Croí¬tre avec vigueur,Olenna Tyrell,vivant,feminin,,,Mace Tyrell,mere,3,Haut Jardin,,Bief,non,non,oui,oui,oui,https://pbs.twimg.com/profile_images/589877331466006528/P3-3w2yY.jpg
Aryn,Faucon blanc sur ciel de lune,Aussi haute qu'Honneur,Lisa Tully,mort,feminin,,Rí©gente,Robert Arryn,mere,3,Vivesaigues,Les Eyrií©,Val d'Arryn,oui,non,non,oui,non,http://k30.kn3.net/taringa/C/9/3/3/7/F/Expelliarmuss/32F.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Catelyn Tully,mort,feminin,,"conseilliíÂre du gouverneur du nord, conseilliíÂre du roi du nord",Arya Stark,mere,3,Vivesaigues,Winterfell,Conflans,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Catelyn Tully,mort,feminin,,"conseilliíÂre du gouverneur du nord, conseilliíÂre du roi du nord",Brandon Stark ,mere,3,Vivesaigues,Winterfell,Conflans,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Catelyn Tully,mort,feminin,,"conseilliíÂre du gouverneur du nord, conseilliíÂre du roi du nord",Rickon Stark ,mere,3,Vivesaigues,Winterfell,Conflans,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Catelyn Tully,mort,feminin,,"conseilliíÂre du gouverneur du nord, conseilliíÂre du roi du nord",Sansa Stark ,mere,3,Vivesaigues,Winterfell,Conflans,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Catelyn Tully,mort,feminin,,"conseilliíÂre du gouverneur du nord, conseilliíÂre du roi du nord",Robb Stark ,mere,3,Vivesaigues,Winterfell,Conflans,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Lisa Tully,mort,feminin,,Rí©gente,Robert Arryn,mere,3,Vivesaigues,Les Eyrií©,Conflans,oui,non,non,oui,non,http://k30.kn3.net/taringa/C/9/3/3/7/F/Expelliarmuss/32F.jpg
Stark,Loup-Garou,L'hiver vient,Catelyn Tully,mort,feminin,,conseilliíÂre du roi du nord,John Snow,mere adoptive,3,Vivesaigues,Winterfell,Nord,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Stark,Loup-Garou,L'hiver vient,Catelyn Tully,mort,feminin,,conseilliíÂre du roi du nord,Theon Greyjoy,mere adoptive,3,Vivesaigues,Winterfell,Nord,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Catelyn Tully,mort,feminin,,"conseilliíÂre du gouverneur du nord, conseilliíÂre du roi du nord",John Snow,mere adoptive,3,Vivesaigues,Winterfell,Conflans,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Tully,Truite argentEe,"Famille, Devoir, Honneur",Catelyn Tully,mort,feminin,,"conseilliíÂre du gouverneur du nord, conseilliíÂre du roi du nord",Theon Greyjoy,mere adoptive,3,Vivesaigues,Winterfell,Conflans,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Aryn,Faucon blanc sur ciel de lune,Aussi haute qu'Honneur,Jon Arryn,mort,masculin,main du roi,Seigneur du Val,Robert Baratheon,Main du roi,2,Les Eyrií©,,Val d'Arryn,oui,non,non,non,non,https://pbs.twimg.com/profile_images/378800000629793067/02a1decab6f3f1f1e8d12625569ba735_400x400.jpeg
Stark,Loup-Garou,L'hiver vient,Eddard Stark,mort,masculin,main du roi,gouverneur du  nord,Arya Stark,pere,3,Winterfell,Winterfell,Nord,oui,non,non,non,non,https://pbs.twimg.com/profile_images/1797689677/EddardStark_400x400.jpg
Stark,Loup-Garou,L'hiver vient,Eddard Stark,mort,masculin,main du roi,gouverneur du  nord,Brandon Stark Stark,pere,3,Winterfell,Winterfell,Nord,oui,non,non,non,non,https://pbs.twimg.com/profile_images/1797689677/EddardStark_400x400.jpg
Stark,Loup-Garou,L'hiver vient,Eddard Stark,mort,masculin,main du roi,gouverneur du  nord,Rickon Stark,pere,3,Winterfell,Winterfell,Nord,oui,non,non,non,non,https://pbs.twimg.com/profile_images/1797689677/EddardStark_400x400.jpg
Stark,Loup-Garou,L'hiver vient,Eddard Stark,mort,masculin,main du roi,gouverneur du  nord,Sansa Stark,pere,3,Winterfell,Winterfell,Nord,oui,non,non,non,non,https://pbs.twimg.com/profile_images/1797689677/EddardStark_400x400.jpg
Stark,Loup-Garou,L'hiver vient,Eddard Stark,mort,masculin,main du roi,gouverneur du  nord,Robb Stark,pere,3,Winterfell,Winterfell,Nord,oui,non,non,non,non,https://pbs.twimg.com/profile_images/1797689677/EddardStark_400x400.jpg
Baratheon,Cerf Couronní©,NíÇtre est la fureur,Stannis Baratheon,peut-íÈtre,masculin,,gouverneur de Peyredragon et disciple du dieu de la LumiíÂre,ShíÇren Baratheon,pere,3,Accalmie,,Terres de l'orage,non,oui,oui,oui,oui,http://westeros.pl/wp-content/uploads/2014/06/stannis-img.jpg
Lannister,Lion d'Or,Je rugis,Tywin Lannister,mort,masculin,main du roi,"Gourveneur  de Castral Roc, Chef des armí©es",Cersei Lannister,pere,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,non,https://pbs.twimg.com/profile_images/378800000266910103/db644dad821ffbcdf27a30fd4dcaf0ee_400x400.jpeg
Lannister,Lion d'Or,Je rugis,Tywin Lannister,mort,masculin,main du roi,"Gourveneur  de Castral Roc, Chef des armí©es",Jaimie Lannister,pere,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,non,https://pbs.twimg.com/profile_images/378800000266910103/db644dad821ffbcdf27a30fd4dcaf0ee_400x400.jpeg
Lannister,Lion d'Or,Je rugis,Tywin Lannister,mort,masculin,main du roi,"Gourveneur  de Castral Roc, Chef des armí©es",Tyrion Lannister ,pere,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,non,https://pbs.twimg.com/profile_images/378800000266910103/db644dad821ffbcdf27a30fd4dcaf0ee_400x400.jpeg
Lannister,Lion d'Or,Je rugis,Jaimie Lannister,vivant,masculin,,"chef de l'armí©e royale, Rí©gicide",Joffrey Lannister,pere,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/598885932897558529/zXxnsZvo.jpg
Lannister,Lion d'Or,Je rugis,Jaimie Lannister,vivant,masculin,,"chef de l'armí©e royale, Rí©gicide",Myrcella Lannister,pere,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/598885932897558529/zXxnsZvo.jpg
Lannister,Lion d'Or,Je rugis,Jaimie Lannister,vivant,masculin,,"chef de l'armí©e royale, Rí©gicide",Tommen Lannister,pere,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/598885932897558529/zXxnsZvo.jpg
Tyrell,Rose d'Or,Croí¬tre avec vigueur,Mace Tyrell,vivant,masculin,,membre du conseil restreint,Margeary Tyrell,pere,3,Haut Jardin,Port Rí©al,Bief,non,non,non,oui,oui,https://pbs.twimg.com/profile_images/477109983671500800/HoBmhZ37_400x400.jpeg
Tyrell,Rose d'Or,Croí¬tre avec vigueur,Mace Tyrell,vivant,masculin,,membre du conseil restreint,Loras Tyrell,pere,3,Haut Jardin,Port Rí©al,Bief,non,non,non,oui,oui,https://pbs.twimg.com/profile_images/477109983671500800/HoBmhZ37_400x400.jpeg
Aryn,Faucon blanc sur ciel de lune,Aussi haute qu'Honneur,Jon Arryn,mort,masculin,main du roi,Seigneur du Val,Robert Arryn,pere,3,Les Eyrií©,,Val d'Arryn,oui,non,non,non,non,https://pbs.twimg.com/profile_images/378800000629793067/02a1decab6f3f1f1e8d12625569ba735_400x400.jpeg
Greyjoy,Kraken Dorí©,Nous ne semons pas,Balon Greyjon,vivant,masculin,,Seigneur des Iles de Fer,Asha Greyjoy,pere,3,Iles de Fer,,Iles de Fer,non,non,oui,non,non,https://sonikbeach.files.wordpress.com/2015/06/balon_greyjoysonik_beach.jpg
Greyjoy,Kraken Dorí©,Nous ne semons pas,Balon Greyjon,vivant,masculin,,Seigneur des Iles de Fer,Theon Greyjoy,pere,3,Iles de Fer,,Iles de Fer,non,non,oui,non,non,https://sonikbeach.files.wordpress.com/2015/06/balon_greyjoysonik_beach.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Doran Martell,vivant,masculin,,Prince de Dorne,Tristane Martell,pere,3,Dorne,,principautí© de Dorne,non,non,non,non,oui,https://pbs.twimg.com/profile_images/590384109513375744/hEG2ZNwT.jpg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Oberyn Martell,mort,masculin,,"Conseiller du Gouverner de Dorne, Membre du Conseil restreint",Obara Sand,pere,3,Dorne,,principautí© de Dorne,non,non,non,oui,non,https://pbs.twimg.com/profile_images/493021365092749312/HSnODihf.jpeg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Oberyn Martell,mort,masculin,,"Conseiller du Gouverner de Dorne, Membre du Conseil restreint",Nymeria Sand,pere,3,Dorne,,principautí© de Dorne,non,non,non,oui,non,https://pbs.twimg.com/profile_images/493021365092749312/HSnODihf.jpeg
Martell,Soleil Rouge et lance dorí©e,"Insoumis, Invaincus, Intacts",Oberyn Martell,mort,masculin,,"Conseiller du Gouverner de Dorne, Membre du Conseil restreint",Tyerne Sand,pere,3,Dorne,,principautí© de Dorne,non,non,non,oui,non,https://pbs.twimg.com/profile_images/493021365092749312/HSnODihf.jpeg
Bolton,,,Roose Bolton,vivant,masculin,,gouverneur du Nord,Ramsay Bolton,pere,3,Fort Terreur,Winterfell,Nord,non,non,oui,oui,oui,https://pbs.twimg.com/profile_images/378800000241829790/84ff8a3bb2e6316d8a3357baabb6fa2e_400x400.jpeg
Stark,Loup-Garou,L'hiver vient,Eddard Stark,mort,masculin,main du roi,gouverneur du  nord,John Snow,pere adoptif,4,Winterfell,Winterfell,Nord,oui,non,non,non,non,https://pbs.twimg.com/profile_images/1797689677/EddardStark_400x400.jpg
Stark,Loup-Garou,L'hiver vient,Eddard Stark,mort,masculin,main du roi,gouverneur du  nord,Theon Greyjoy,pere adoptif,4,Winterfell,Winterfell,Nord,oui,non,non,non,non,https://pbs.twimg.com/profile_images/1797689677/EddardStark_400x400.jpg
Lannister,Lion d'Or,Je rugis,Joffrey Lannister,mort,masculin,,roi de Westeros,Tywin Lannister,petit fils,3,Port Rí©al,,Ouest,oui,oui,oui,oui,non,"http://static.lexpress.fr/medias_10379/w_400,c_fill,g_north/games-of-thrones-le-roi-joffrey_5314217.jpg"
Lannister,Lion d'Or,Je rugis,Tommen Lannister,vivant,masculin,,roi de Westeros,Tywin Lannister,petit fils,3,Port Rí©al,,Ouest,oui,non,non,oui,oui,https://pbs.twimg.com/profile_images/652365169901891584/pahiUBrm_400x400.jpg
Lannister,Lion d'Or,Je rugis,Myrcella Lannister,mort,feminin,,,Tywin Lannister,petite fille,3,Port Rí©al,,Ouest,oui,non,non,oui,oui,https://pbs.twimg.com/media/COY-JJOWoAAfEBK.jpg
Stark,Loup-Garou,L'hiver vient,Catelyn Tully,mort,feminin,,conseilliíÂre du roi du nord,Lisa Tully,soeur,3,Vivesaigues,Winterfell,Nord,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Stark,Loup-Garou,L'hiver vient,Catelyn Tully,mort,feminin,,conseilliíÂre du roi du nord,Edmure Tully,soeur,3,Vivesaigues,Winterfell,Nord,oui,oui,oui,non,non,http://res.cloudinary.com/infoactive/image/upload/v1405957525/ukhi2ujptzjwgrasz1mn.jpg
Stark,Loup-Garou,L'hiver vient,Sansa Stark,vivant,feminin,,hí©ritiíÂre de Winterfell et gouverneur du  nord,Robb Stark,soeur,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/499328626064916480/ORr3OR8i.jpeg
Stark,Loup-Garou,L'hiver vient,Sansa Stark,vivant,feminin,,hí©ritiíÂre de Winterfell et gouverneur du  nord,Arya Stark,soeur,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/499328626064916480/ORr3OR8i.jpeg
Stark,Loup-Garou,L'hiver vient,Sansa Stark,vivant,feminin,,hí©ritiíÂre de Winterfell et gouverneur du  nord,Brandon Stark,soeur,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/499328626064916480/ORr3OR8i.jpeg
Stark,Loup-Garou,L'hiver vient,Sansa Stark,vivant,feminin,,hí©ritiíÂre de Winterfell et gouverneur du  nord,Rickon Stark,soeur,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/499328626064916480/ORr3OR8i.jpeg
Stark,Loup-Garou,L'hiver vient,Arya Stark,vivant,feminin,,membre des sans-visages,Robb Stark,soeur,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://s3.amazonaws.com/cinescape/elements/12/resources/images/katuimg_article_b0d720b03aa9f9405666d44ab84ed2fa_jpg_650x400_80_4946.jpg
Stark,Loup-Garou,L'hiver vient,Arya Stark,vivant,feminin,,membre des sans-visages,Sansa Stark,soeur,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://s3.amazonaws.com/cinescape/elements/12/resources/images/katuimg_article_b0d720b03aa9f9405666d44ab84ed2fa_jpg_650x400_80_4946.jpg
Stark,Loup-Garou,L'hiver vient,Arya Stark,vivant,feminin,,membre des sans-visages,Brandon Stark,soeur,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://s3.amazonaws.com/cinescape/elements/12/resources/images/katuimg_article_b0d720b03aa9f9405666d44ab84ed2fa_jpg_650x400_80_4946.jpg
Stark,Loup-Garou,L'hiver vient,Arya Stark,vivant,feminin,,membre des sans-visages,Rickon Stark,soeur,3,Winterfell,Winterfell,Nord,oui,oui,oui,oui,oui,https://s3.amazonaws.com/cinescape/elements/12/resources/images/katuimg_article_b0d720b03aa9f9405666d44ab84ed2fa_jpg_650x400_80_4946.jpg
Lannister,Lion d'Or,Je rugis,Cersei Lannister,vivant,feminin,,"Reine de Westeros, Rí©gente",Tyrion Lannister,soeur,3,Castral Roc,Port Rí©al,Ouest,oui,oui,oui,oui,oui,http://i56.servimg.com/u/f56/18/63/99/45/179-le10.jpg
Targaryen,Dragon Tricí©phale,Feu et sang,Daenerys Targaryen,vivant,feminin,,"princesse hí©ritiíÂre, Reine des cití©s libres, mere des dragons",Rhaegar Targaryen,soeur,3,Valyrie,Essos,Essos,oui,oui,oui,oui,oui,http://vignette3.wikia.nocookie.net/eisundfeuer/images/e/e3/Daenerys_Targaryen.jpg/revision/latest?cb=20131006201356&path-prefix=de
Targaryen,Dragon Tricí©phale,Feu et sang,Daenerys Targaryen,vivant,feminin,,"princesse hí©ritiíÂre, Reine des cití©s libres, mere des dragons",Viserys Targaryen,soeur,3,Valyrie,Essos,Essos,oui,oui,oui,oui,oui,http://vignette3.wikia.nocookie.net/eisundfeuer/images/e/e3/Daenerys_Targaryen.jpg/revision/latest?cb=20131006201356&path-prefix=de
Tyrell,Rose d'Or,Croí¬tre avec vigueur,Margeary Tyrell,vivant,feminin,,reine de Westeros,Loras Tyrell,soeur,3,Haut Jardin,Port Rí©al,Bief,oui,oui,oui,oui,oui,https://pbs.twimg.com/profile_images/513615647872651265/ChAypFBy_400x400.jpeg
